PREÇO 2.099,00

Wi-Fi Integrado	Sim
Voltagem	Bivolt
Plataforma	Xbox One
Fabricante	Microsoft
Bluetooth	Não
Peso liq. do produto (Kg)	5,1
Conexões	1 HDMI
Cor	Branco
Conteúdo da Embalagem	Console XBOX One S, Cabo HDMI, Manual de Instruções, HDD 1TB, Download Minecraft, Sea of Thieves e conteudo do Fornite.
Garantia do Fornecedor	12 Meses
Mais Informações	www.xbox.com/pt-br / 0800-891-9835
Referência do Modelo	NJP-00055
